FEATURE_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M
Potter Mesa,34.7578244,-109.6702911,1768
Black Mesa,33.4794988,-110.3795443,1251
Black Mesa,34.9516196,-114.3263736,1174
Adams Butte,35.7194515,-110.3148511,1871
Adams Peak,32.0338327,-110.1156349,1782
Additional Hill,35.7465201,-111.6489853,1906
Agathla Peak,36.8262143,-110.2255683,2181
Aguirre Peak,31.6341025,-111.6376018,1494
Ah Hol Sah,36.6738217,-111.6838372,1476
Ajax Hill,31.6756473,-110.0809102,1613
Mount Ajo,32.0273645,-112.6903741,1469
Mount Akaba,36.3169201,-112.6333857,1589
Alsap Butte,36.2501178,-111.9497805,2285
Amole Peak,32.2719796,-111.1546124,1347
Andrus Point,36.196365,-113.3665898,1648
Angels Gate,36.0938645,-111.9900718,2046
Antelope Hills,33.4047772,-110.3195414,1317
Antelope Knoll,36.6879873,-113.2086522,1813
Antelope Peak,32.6764596,-111.0223303,1043
Antelope Peak,32.8509008,-110.8609402,1378
Antelope Peak,34.215304,-112.7312892,1760
Apache Butte,33.9264372,-109.6595396,2978
Apache Butte,34.9274978,-110.445867,1576
Apollo Temple,36.1156735,-111.880082,1909
Arch Mountain,36.1358087,-114.5604785,1007
Arrastra Mountain,34.4211304,-113.3821463,1468
Arrowhead Butte,35.2933475,-110.369296,1788
Arrowhead Butte,35.3408227,-109.9890214,1826
Ash Creek Black Hills,32.5222936,-110.148692,1527
Ash Peak,32.7517297,-109.2620243,1699
Aspen Butte,33.8181004,-109.614248,2809
Atsadahsidahi,36.0200046,-109.9056709,2223
Aubrey Peak,34.6632216,-113.7290295,1544
Austin Peak,35.0927791,-113.5157571,1736
Awatubi Crest,36.2153436,-111.8356396,1651
Baboquivari Peak,31.7711901,-111.595654,2358
Baby Rocks Mesa,36.7036117,-110.0412332,1749
Bad Bug Butte,36.4241593,-109.3112643,1893
Bad Medicine Butte,35.4811213,-110.4517986,1957
Baker Hill,32.4995498,-110.1614559,1719
Balakai Mesa,35.9838938,-109.9378939,2222
Balakai Point,35.8500079,-109.8340021,2122
Balanced Rock Mesa,36.9755519,-110.8845853,1856
Bald Hill,34.0194776,-112.252941,1156
Bald Knob,31.5250672,-109.5274071,1530
Baldy Peak,31.8461948,-111.3351006,1237
Baldy Peak,33.9059355,-109.5626467,3482
Mount Ballard,31.4434276,-109.9592317,2245
Mount Bangs,36.7924783,-113.8549633,2419
Barbenceta Butte,36.3008119,-111.8801764,1421
Barfoot Peak,31.9207371,-109.2808646,2676
Bassett Peak,32.5061779,-110.2797959,2325
Battle Mountain,32.6617312,-110.0311803,1673
Battleship Mountain,35.0741683,-114.3819034,1258
Bear Mountain,33.9354282,-110.534863,1957
Bear Springs Knoll,32.8447032,-109.9583616,1052
Beckers Butte,33.8069894,-110.4587272,1491
Bell Butte,35.573898,-110.3531854,1926
Ben Nevis Mountain,32.0608333,-112.1425,1041
